source,target,importance
NEDD8,CHMP6,0.8473999500274658
EIF3D,CHMP6,0.8467998504638672
SACM1L,CHMP6,0.8421008586883545
CIAPIN1,CHMP6,0.8399006128311157
XPO1,CHMP6,0.8391141295433044
RNPC3,CHMP6,0.8359909057617188
SLC35A3,CHMP6,0.8324053883552551
EEF1G,CHMP6,0.825005054473877
CHRNB1,CHMP6,0.8231971263885498
PSMD12,CHMP6,0.8224910497665405
PSMD7,CHMP6,0.821235179901123
RPL14,CHMP6,0.8158435821533203
RPL10,CHMP6,0.8156189322471619
CCDC78,CHMP6,0.8129916191101074
CPSF3,RIF1,0.768276035785675
MXD4,RIF1,0.759194016456604
ITGB1BP1,RIF1,0.7380210161209106
HINFP,RIF1,0.7042809724807739
TOP1,RIF1,0.6958502531051636
SUPT4H1,RIF1,0.6955882906913757
PA2G4,RIF1,0.693276047706604
UBE3D,RIF1,0.6927028894424438
CPSF1,RIF1,0.6869731545448303
ZMYM4,RIF1,0.6837970018386841
RNGTT,RIF1,0.679969310760498
CHD4,RIF1,0.6709829568862915
NUDC,RIF1,0.6671928763389587
SLC16A5,RIF1,0.6645337343215942
USP22,RIF1,0.6630577445030212
SAP18,RIF1,0.6615020036697388
SLC35A4,RIF1,0.6607449054718018
PELO,RIF1,0.659244179725647
MBD3,RIF1,0.6587269306182861
HNRNPH1,RIF1,0.6585608124732971
PEX19,MZT2B,0.7361534237861633
ALDOA,MZT2B,0.7280615568161011
TBX1,MZT2B,0.7193328738212585
STIL,MZT2B,0.7189295887947083
STAT5B,MZT2B,0.7187778949737549
RICTOR,MZT2B,0.7161984443664551
PSMB6,MZT2B,0.7147574424743652
RPN1,MZT2B,0.7114758491516113
ALG11,MZT2B,0.7085084915161133
NOMO3,MZT2B,0.7063069343566895
STRIP1,MZT2B,0.7050789594650269
PKM,MZT2B,0.7047362327575684
TBCA,MZT2B,0.7041153907775879
SLC1A5,MZT2B,0.7038077116012573
MOB4,MZT2B,0.7037110328674316
SON,MZT2B,0.7036131620407104
ZFP91,MZT2B,0.7014976739883423
DDOST,MZT2B,0.7009146809577942
